#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.23e+00    7.39e+00      2.32e-03    4.38e-03      1.02e-01    2.34e-01    1.0e-03
   1000      3.41e+00    1.04e+00      2.97e-01    1.09e-01      1.07e-01    3.26e-02    1.0e-03
   2000      2.49e+00    2.64e+00      3.93e-02    1.99e-02      7.86e-02    8.33e-02    1.0e-03
   3000      2.90e+00    1.92e+00      3.40e-02    1.49e-01      9.16e-02    6.03e-02    1.0e-03
   4000      8.03e-01    1.90e+00      3.52e-02    8.10e-02      2.53e-02    6.01e-02    1.0e-03
   5000      1.93e+00    3.28e+00      4.69e-02    6.52e-02      6.14e-02    1.04e-01    9.9e-04
   6000      2.65e+00    2.19e+00      6.38e-02    8.70e-02      8.43e-02    6.95e-02    9.9e-04
   7000      2.23e+00    1.09e+00      8.85e-02    1.03e-01      7.08e-02    3.41e-02    9.9e-04
   8000      4.68e-01    1.42e+00      5.42e-02    3.02e-02      1.45e-02    4.51e-02    9.9e-04
   9000      4.56e+00    3.42e+00      2.00e-01    9.52e-02      1.45e-01    1.09e-01    9.9e-04
  10000      7.92e+00    1.71e+00      1.28e-01    2.07e-01      2.53e-01    5.28e-02    9.8e-04
  11000      1.25e+00    3.13e+00      1.47e-02    1.95e-01      4.01e-02    9.94e-02    9.8e-04
  12000      3.69e+00    3.21e+00      1.78e-01    6.98e-02      1.17e-01    1.03e-01    9.8e-04
  13000      1.52e+00    6.98e-01      3.55e-02    1.13e-01      4.84e-02    2.09e-02    9.8e-04
  14000      7.73e-01    2.40e+00      1.60e-02    2.69e-02      2.47e-02    7.68e-02    9.8e-04
  15000      1.64e+00    1.61e+00      5.43e-02    3.18e-03      5.26e-02    5.18e-02    9.7e-04
  16000      1.22e+00    1.23e+00      1.31e-02    4.03e-02      3.93e-02    3.94e-02    9.7e-04
  17000      1.25e+00    1.29e+00      9.76e-02    1.62e-02      3.94e-02    4.16e-02    9.7e-04
  18000      1.20e+00    9.62e-01      6.36e-02    2.94e-02      3.82e-02    3.09e-02    9.7e-04
  19000      2.17e+00    1.48e+00      3.15e-02    1.09e-01      6.98e-02    4.70e-02    9.7e-04
